ano_de_construccion,banos,disposicion,dormitorios,estado,garajes,gastos_comunes,m2_de_la_terraza,m2_del_terreno,m2_edificados,price,tipo_propiedad,vivienda_social,zona
2014.0,2.0,al frente,2.0,buen estado,1.0,9000.0,29.0,92.0,92.0,280000.0,apartamentos,0.0,parque miramar
2020.0,1.0,al frente,1.0,en construccion,0.0,0.0,0.0,47.0,43.0,192000.0,apartamentos,0.0,punta carretas
2019.0,1.0,interior,1.0,a estrenar,1.0,1.0,3.0,44.0,44.0,135000.0,apartamentos,1.0,la blanqueada
2014.0,2.0,,2.0,buen estado,2.0,1.0,0.0,153.0,153.0,505000.0,apartamentos,0.0,carrasco
2010.0,3.0,al frente,3.0,excelente estado,2.0,11000.0,20.0,124.0,124.0,340000.0,apartamentos,0.0,pocitos
1950.0,3.0,al frente,5.0,requiere mantenimiento,2.0,0.0,0.0,210.0,360.0,390000.0,casas,0.0,la blanqueada
2018.0,1.0,contrafrente,1.0,excelente estado,1.0,3500.0,3.0,45.0,45.0,125000.0,apartamentos,0.0,centro
2019.0,1.0,al frente,1.0,a estrenar,0.0,3000.0,3.0,45.0,45.0,125000.0,apartamentos,0.0,cordon
1929.0,3.0,al frente,4.0,buen estado,1.0,0.0,0.0,490.0,490.0,760000.0,casas,0.0,pocitos
2019.0,1.0,lateral,2.0,a estrenar,1.0,800.0,13.0,57.0,57.0,129000.0,apartamentos,1.0,prado
1949.0,1.0,al frente,2.0,buen estado,0.0,1800.0,0.0,55.0,55.0,92000.0,apartamentos,0.0,jacinto vera
1901.0,1.0,al frente,2.0,buen estado,0.0,0.0,0.0,98.0,98.0,159000.0,casas,0.0,cordon
1977.0,1.0,al frente,2.0,excelente estado,0.0,4500.0,0.0,49.0,49.0,129000.0,apartamentos,0.0,barrio sur
1960.0,1.0,al frente,2.0,excelente estado,0.0,3800.0,0.0,105.0,105.0,179000.0,apartamentos,0.0,centro
2017.0,2.0,al frente,2.0,buen estado,0.0,0.0,0.0,15.0,64.0,182000.0,apartamentos,0.0,buceo
