banos,dormitorios,garajes,gastos_comunes,m2_del_terreno,m2_edificados,price,vivienda_social,disposición_frente,estado_rec_exc,zona_cat_1,zona_cat_2,zona_cat_3
2.0,3.0,1.0,15500.0,115.0,115.0,395000.0,0.0,1,0,0,0,1
1.0,2.0,0.0,3500.0,71.0,71.0,130000.0,0.0,1,0,0,1,0
1.0,1.0,0.0,0.0,49.0,49.0,131250.0,0.0,1,0,0,0,1
1.0,1.0,0.0,5000.0,76.0,76.0,189000.0,0.0,1,0,0,0,1
2.0,2.0,0.0,5.0,72.0,72.0,262500.0,0.0,1,0,0,0,1
1.0,2.0,0.0,3000.0,58.0,58.0,144600.0,1.0,1,0,0,1,0
2.0,5.0,0.0,0.0,95.0,150.0,186000.0,0.0,1,1,0,1,0
1.0,2.0,1.0,9800.0,60.0,60.0,155000.0,0.0,1,1,0,1,0
2.0,4.0,1.0,12000.0,125.0,125.0,275000.0,0.0,1,1,0,1,0
1.0,2.0,0.0,2000.0,74.0,74.0,225000.0,0.0,1,0,0,0,1
1.0,1.0,1.0,8900.0,50.0,50.0,198000.0,0.0,0,0,0,0,1
3.0,3.0,1.0,15300.0,130.0,130.0,278000.0,0.0,1,0,0,0,1
1.0,4.0,3.0,0.0,229.0,335.0,620000.0,0.0,1,0,0,0,1
2.0,3.0,1.0,16332.0,100.0,100.0,265000.0,0.0,1,0,0,0,1
2.0,2.0,1.0,10000.0,60.0,60.0,225000.0,0.0,1,1,0,0,1
1.0,2.0,0.0,3300.0,49.0,49.0,140000.0,0.0,0,0,0,1,0
1.0,1.0,0.0,0.0,79.0,79.0,170000.0,0.0,1,0,0,0,1
3.0,4.0,3.0,0.0,717.0,270.0,580000.0,0.0,1,1,0,0,1
1.0,0.0,1.0,0.0,26.0,26.0,127000.0,0.0,0,0,0,1,0
2.0,3.0,1.0,0.0,135.0,120.0,310000.0,0.0,1,0,0,1,0
3.0,5.0,1.0,0.0,338.0,269.0,330000.0,0.0,1,0,0,1,0
1.0,1.0,1.0,6000.0,50.0,50.0,155000.0,0.0,1,1,0,1,0
2.0,2.0,1.0,11000.0,70.0,70.0,240000.0,0.0,1,0,0,0,1
1.0,1.0,1.0,0.0,40.0,40.0,199000.0,0.0,1,0,0,0,1
1.0,2.0,0.0,1800.0,48.0,48.0,145000.0,0.0,1,0,0,1,0
2.0,3.0,0.0,0.0,44.0,86.0,135000.0,0.0,1,0,0,0,1
2.0,4.0,0.0,0.0,126.0,165.0,195000.0,0.0,1,0,0,1,0
3.0,4.0,1.0,16000.0,117.0,117.0,355000.0,0.0,1,1,0,0,1
3.0,3.0,1.0,20500.0,189.0,189.0,295000.0,0.0,1,0,0,1,0
1.0,1.0,1.0,0.0,59.0,59.0,142000.0,0.0,1,0,0,1,0
1.0,1.0,0.0,2500.0,36.0,36.0,119500.0,0.0,0,0,0,1,0
2.0,2.0,1.0,3500.0,80.0,80.0,258000.0,0.0,1,0,0,0,1
2.0,2.0,1.0,3000.0,84.0,84.0,272900.0,0.0,1,0,0,0,1
